Slice	Channel	C01	C01x	C02	C02x	C03	C03x	C04	C04x	C05	C05x	C06	C06x	C07	C07x	C08	C08x	C09	C09x	C10	C10x	C11	C11x	C12	C12x
106	3	7.185	1321.555	17.905	1353.696	11.684	1312.405	59.574	1211.494	77.882	1119.154	-102.524	1228.221					-15.392	1277.014	25.831	1245.437	-7.753	1255.634	-26.732	1197.258
109	1	22.56	186.95	382.277	194.436	97.094	193.475	341.932	190.3	280.843	171.104	159.992	191.97					77.786	184.232	58.404	182.579	352.411	186.907	40.83	174.25
109	2	5.11	334.53	186.211	346.197	78.234	354.649	155.324	341.167	145.512	303.111	52.804	333.037					23.439	338.132	41.716	331.425	149.781	337.086	42.515	309.453
109	3	-9.96	1323.665	9.959	1359.129	14.606	1310.715	54.839	1207.295	135.219	1030.493	-54.882	1192.187					-16.285	1278.614	8.476	1246.916	-3.009	1235.354	-20.295	1182.525
112	1	16.427	191.394	351.688	191.848	103.564	193.546	388.92	198.391	326.734	171.706	140.334	191.263					81.459	185.902	55.604	184.089	409.14	197.112	38.984	174.992
112	2	2.452	336.303	166.534	349.382	81.521	355.062	181.144	345.173	168.734	305.599	38.706	337.743					21.522	342.51	40.089	333.557	184.521	341.627	41.792	308.164
112	3	-2.995	1314.542	20.639	1349.722	9.526	1315.074	50.42	1201.725	112.861	1048.597	-70.753	1183.307					19.983	1245.291	28.826	1246.54	3.057	1234.629	-9.576	1164.843
115	1	12.091	191.564	311.708	199.342	107.994	191.517	418.716	191.797	345.146	174.156							101.594	186.065	58.401	183.923	398.725	195.88	35.074	178.503
115	2	1.076	339.253	148.831	349.162	83.752	355.995	204.615	342.337	174.371	311.197							27.531	343.586	42.913	332.596	182.063	340.625	34.582	314.98
115	3	10.298	1302.049	6.8	1357.202	9.221	1311.808	40.61	1202.883	53.687	1115.15							66.3	1227.163	2.062	1247.949	-0.099	1237.822	-17.731	1175.298
118	1	13.985	192.091	269.74	191.991	111.044	193.807	402.97	185.943	332.869	175.362							156.21	188.011	56.428	183.304	373.402	184.83	38.489	176.587
118	2	1.165	340.66	117.511	354.287	87.409	355.741	205.006	338.182	166.309	313.663							49.251	344.422	51.371	332.119	172.078	336.262	44.398	311.944
118	3	8.868	1297.008	46.695	1312.737	17.885	1292.848	30.443	1197.25	43.125	1120.71							72.555	1226.348	26.072	1225.199	-13.717	1225.026	-14.971	1140.594
